Product (15),Product Line Code,Description Full,Whse 5 Primary Bin,Whse 05 Secondary Bin
P12546,EPEXFT,1-1/2 Brass F1960 EXPN PEX x FIP ADPT,D04-05CR,
P13000,EPEXFT,1/2 Brass F1960 EXPN PEX Tee,D04-05BL,
P13001,EPEXFT,3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P13002,EPEXFT,1 Brass F1960 EXPN PEX Tee,D04-05BR,
P13003,EPEXFT,1/2x1/2x3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P13004,EPEXFT,3/4x3/4x1 Brass F1960 EXPN PEX Tee,D04-05CR,
P13005,EPEXFT,1x3/4x1 Brass F1960 EXPN PEX Tee,D04-05BR,
P13006,EPEXFT,1x1x1/2 Brass F1960 EXPN PEX Tee,D04-05CR,
P13007,EPEXFT,3/4x1/2x1/2 Brass F1960 EXPN Pex Tee,D04-05BR,
P13008,EPEXFT,3/4x1/2x3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P13009,EPEXFT,3/4x3/4x1/2 Brass F1960 EXPN Pex Tee,D04-05BR,
P13010,EPEXFT,1x3/4x3/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P13011,EPEXFT,1x1x3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P13012,EPEXFT,1x1/2x1 Brass F1960 EXPN PEX Tee,D04-05BR,
P13013,EPEXFT,1/2 Brass F1960 EXPN PEX 90 Elbow,D04-05BL,
P13014,EPEXFT,3/4 Brass F1960 EXPN PEX 90 Elbow,D04-05BR,
P13015,EPEXFT,1 Brass F1960 EXPN PEX 90 Elbow,D04-05BR,
P13016,EPEXFT,3/4x1/2 Brass F1960 EXPN PEX 90 Elbow,D04-05BR,
P13017,EPEXFT,1/2 Brass F1960 EXPN PEX Drop Ear Elbow PEXxFIP,D04-05AL,
P13018,EPEXFT,1/2 Brass F1960 EXPN PEX x MIP 90 Elbow,D04-05CR,
P13019,EPEXFT,1/2x3/4 Brass F1960 EXPN PEX x MIP 90 Elbow,D04-05CR,
P13020,EPEXFT,3/4 Brass F1960 EXPN PEX x MIP 90 Elbow,D04-05BR,
P13021,EPEXFT,1/2 Brass F1960 EXPN PEX CPLG,D04-05CR,
P13022,EPEXFT,3/4 Brass F1960 EXPN PEX CPLG,D04-05CR,
P13023,EPEXFT,1 Brass F1960 EXPN PEX CPLG,D04-05BR,
P13024,EPEXFT,3/4x1/2 Brass F1960 EXPN PEX CPLG,D04-05CR,
P13025,EPEXFT,1/2 Brass F1960 EXPN PEX x MIP ADPT,D04-05AR,
P13026,EPEXFT,1/2x3/4 Brass F1960 EXPN PEX x MIP ADPT,D04-05CR,
P13027,EPEXFT,3/4x1/2 Brass F1960 EXPN PEX x MIP ADPT,D04-05CR,
P13028,EPEXFT,3/4 Brass F1960 EXPN PEX x MIP ADPT,D04-05AR,
P13029,EPEXFT,1 Brass F1960 EXPN PEX x MIP ADPT,D04-05BL,
P13030,EPEXFT,3/4x1 Brass F1960 EXPN PEX x MIP ADPT,D04-05CR,
P13031,EPEXFT,1x3/4 Brass F1960 EXPN PEX x MIP ADPT,D04-05BR,
P13032,EPEXFT,1/2 Brass F1960 EXPN PEX x FIP ADPT,D04-05BL,
P13033,EPEXFT,1/2x3/4 Brass F1960 PEXxFIP ADPT,D04-05CR,
P13034,EPEXFT,3/4x1/2 Brass F1960 EXPN PEX x FIP ADPT,D04-05CR,
P13035,EPEXFT,3/4 Brass F1960 EXPN PEX x FIP ADPT,D04-05AR,
P13036,EPEXFT,1 Brass F1960 EXPN PEX x FIP ADPT,D04-05AR,
P13037,EPEXFT,1/2 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05AR,
P13038,EPEXFT,1/2x3/4 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05CR,
P13039,EPEXFT,3/4 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05BR,
P13040,EPEXFT,1 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05BL,
P13041,EPEXFT,3/4x1/2 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05BR,
P13042,EPEXFT,1/2 Brass F1960 EXPN PEX x Fem Cop ADPT,D04-05BL,
P13043,EPEXFT,3/4 Brass F1960 EXPN PEX x Fem Cop ADPT,D04-05BL,
P13044,EPEXFT,1 Brass F1960 EXPN PEX x Fem Cop ADPT,D04-05BL,
P13045,EPEXFT,1/2x3/4 Brass F1960 EXPN PEX x Fem Cop ADPT,D04-05BR,
P13046,EPEXFT,1/2 Brass F1960 EXPN PEX Plug,D04-05BR,
P13047,EPEXFT,3/4 Brass F1960 EXPN PEX Plug,D04-05CR,
P13048,EPEXFT,1 Brass F1960 EXPN PEX Plug,D04-05BR,
P13049,EPEXFT,3/4 Brass F1960 EXPN PEX x FTG Male Cop 90 Elbow,D04-05BR,
P13050,EPEXFT,3/4 Brass F1960 EXPN PEX x Fem Cop 90 Elbow,D04-05BR,
P13053,EPEXFT,3/8 Brass F1960 EXPN PEX CPLG,D04-05BR,
P13056,EPEXFT,5/8 Brass F1960 EXPN PEX CPLG,D04-05CR,
P13058,EPEXFT,1/2 Brass F1960 EXPN PEX x FTG Male Cop 90 Elbow,D04-05CR,
P13065,EPEXFT,3/4 Brass F1960 EXPN PEX Drop Ear Elbow PEXxFIP,D04-05AR,
P23200,EPEXFT,3/8 Brass F1960 EXPN PEX Tee,D04-05CR,
P23201,EPEXFT,1/2x3/8x3/8 Brass F1960 EXPN PEX Tee,D04-05BR,
P23202,EPEXFT,1-1/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23203,EPEXFT,3/8x3/8x1/2 Brass F1960 EXPN PEX Tee,D04-05BR,
P23204,EPEXFT,1/2x3/8x1/2 Brass F1960 EXPN PEX Tee,D04-05CR,
P23205,EPEXFT,1/2x1/2x3/8 Brass F1960 EXPN PEX Tee,D04-05BR,
P23206,EPEXFT,3/4x3/4x3/8 Brass F1960 EXPN PEX Tee,D04-05CR,
P23207,EPEXFT,1x3/4x1/2 Brass F1960 EXPN PEX Tee,D04-05BR,
P23208,EPEXFT,1x1/2x3/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23209,EPEXFT,1-1/4x1x1 Brass F1960 EXPN PEX Tee,D04-05BR,
P23210,EPEXFT,1-1/4x1-1/4x1/2 Brass F1960 EXPN PEX Tee,D04-05CR,
P23211,EPEXFT,1-1/4x1-1/4x3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P23212,EPEXFT,1-1/4x1-1/4x1 Brass F1960 EXPN PEX Tee,D04-05CR,
P23213,EPEXFT,1-1/4x1x3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P23214,EPEXFT,1-1/2x3/4x3/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23215,EPEXFT,1-1/2x1x3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P23216,EPEXFT,1-1/2x1x1 Brass F1960 EXPN PEX Tee,D04-05CR,
P23217,EPEXFT,1-1/2x1-1/4x3/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P23218,EPEXFT,1-1/2x1-1/4x1 Brass F1960 EXPN PEX Tee,D04-05CR,
P23219,EPEXFT,1-1/2x1-1/4x1-1/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P23220,EPEXFT,1-1/2x1-1/2x3/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23221,EPEXFT,1-1/2x1-1/2x1 Brass F1960 EXPN PEX Tee,D04-05BR,
P23222,EPEXFT,1-1/2x1-1/2x1-1/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23223,EPEXFT,1-1/2 Brass F1960 EXPN PEX Tee,D04-05BR,
P23224,EPEXFT,2 Brass F1960 EXPN PEX Tee,D04-05CR,
P23225,EPEXFT,2x1-1/4x1-1/4 Brass F1960 EXPN PEX Tee,D04-05BR,
P23226,EPEXFT,2x1-1/2x3/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23227,EPEXFT,2x1-1/2x1 Brass F1960 EXPN PEX Tee,D04-05BR,
P23228,EPEXFT,2x1-1/2x1-1/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23229,EPEXFT,2x1-1/2x1-1/2 Brass F1960 EXPN PEX Tee,D04-05BR,
P23230,EPEXFT,2x2x3/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23231,EPEXFT,2x2x1 Brass F1960 EXPN PEX Tee,D04-05BR,
P23232,EPEXFT,2x2x1-1/4 Brass F1960 EXPN PEX Tee,D04-05CR,
P23233,EPEXFT,2x2x1-1/2 Brass F1960 EXPN PEX Tee,D04-05BR,
P23234,EPEXFT,1/2 Brass F1960 EXPN PEXxPEXxFIP Tee,D04-05CR,
P23235,EPEXFT,3/8 Brass F1960 EXPN PEX 90 Elbow,D04-05BR,
P23236,EPEXFT,1-1/4 Brass F1960 EXPN PEX 90 Elbow,D04-05CR,
P23237,EPEXFT,1-1/2 Brass F1960 EXPN PEX 90 Elbow,D04-05BR,
P23238,EPEXFT,2 Brass F1960 EXPN PEX 90 Elbow,D04-05CR,
P23239,EPEXFT,3/8x1/2 Brass F1960 EXPN PEX 90 Elbow,D04-05BR,
P23240,EPEXFT,1x3/4 Brass F1960 EXPN PEX 90 Elbow,D04-05CR,
P23241,EPEXFT,1/2 Brass F1960 EXPN PEX x FIP Elbow,D04-05BR,
P23242,EPEXFT,3/4x1/2 Brass F1960 EXPN PEX x FIP Elbow,D04-05CR,
P23243,EPEXFT,3/4 Brass F1960 EXPN PEX x FIP Elbow,D04-05CR,
P23244,EPEXFT,3/8 Brass F1960 EXPN PEX x MIP Elbow,D04-05BR,
P23245,EPEXFT,3/8x1/2 Brass F1960 EXPN PEX x MIP Elbow,D04-05CR,
P23246,EPEXFT,1/2x3/8 Brass F1960 EXPN PEX x MIP Elbow,D04-05BR,
P23248,EPEXFT,3/4x1/2 Brass F1960 EXPN PEX x MIP Elbow,D04-05CR,
P23250,EPEXFT,3/8x1/2 Brass F1960 EXPN PEX CPLG,D04-05BR,
P23251,EPEXFT,1/2x3/4 Brass F1960 EXPN PEX CPLG,D04-05CR,
P23252,EPEXFT,3/4x1 Brass F1960 EXPN PEX CPLG,D04-05BR,
P23253,EPEXFT,1-1/4x1 Brass F1960 EXPN PEX CPLG,D04-05CR,
P23254,EPEXFT,1-1/4 Brass F1960 EXPN PEX CPLG,D04-05BR,
P23255,EPEXFT,1-1/4x3/4 Brass F1960 EXPN PEX CPLG,D04-05CR,
P23256,EPEXFT,1-1/2x3/4 Brass F1960 EXPN PEX CPLG,D04-05BR,
P23257,EPEXFT,1-1/2x1 Brass F1960 EXPN PEX CPLG,D04-05CR,
P23258,EPEXFT,1-1/2x1-1/4 Brass F1960 EXPN PEX CPLG,D04-05BR,
P23259,EPEXFT,1-1/2 Brass F1960 EXPN PEX CPLG,D04-05CR,
P23260,EPEXFT,2 Brass F1960 EXPN PEX CPLG,D04-05BR,
P23261,EPEXFT,2x1 Brass F1960 EXPN PEX CPLG,D04-05CR,
P23262,EPEXFT,2x1-1/4 Brass F1960 EXPN PEX CPLG,D04-05BR,
P23263,EPEXFT,2x1-1/2 Brass F1960 EXPN PEX CPLG,D04-05CR,
P23264,EPEXFT,3/8 Brass F1960 EXPN PEX x MIP ADPT,D04-05BR,
P23265,EPEXFT,3/8x1/2 Brass F1960 EXPN PEX x MIP ADPT,D04-05CR,
P23266,EPEXFT,1/2x3/8 Brass F1960 EXPN PEX x MIP ADPT,D04-05BR,
P23267,EPEXFT,1-1/4x1 Brass F1960 EXPN PEX x MIP ADPT,D04-05CR,
P23268,EPEXFT,1-1/4 Brass F1960 EXPN PEX x MIP ADPT,D04-05BR,
P23269,EPEXFT,1-1/2x1-1/4 Brass F1960 EXPN PEX x MIP ADPT,D04-05CR,
P23270,EPEXFT,1-1/2 Brass F1960 EXPN PEX x MIP ADPT,D04-05BR,
P23271,EPEXFT,2x1-1/2 Brass F1960 EXPN PEX x MIP ADPT,D04-05CR,
P23272,EPEXFT,2 Brass F1960 EXPN PEX x MIP ADPT,D04-05BR,
P23273,EPEXFT,3/8x1/2 Brass F1960 EXPN PEX x FIP Adapter,D04-05CR,
P23274,EPEXFT,3/8 Brass F1960 EXPN PEX x FIP Adapter,D04-05BR,
P23275,EPEXFT,3/4x1 Brass F1960 EXPN PEX x FIP Adapter,D04-05CR,
P23276,EPEXFT,1x3/4 Brass F1960 EXPN PEX x FIP Adapter,D04-05BR,
P23277,EPEXFT,1-1/4 Brass F1960 EXPN PEX x FIP Adapter,D04-05CR,
P23278,EPEXFT,3/8x1/2 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05BR,
P23279,EPEXFT,5/8x3/4 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05CR,
P23280,EPEXFT,1-1/4 Brass F1960 EXPN PEX x Male Cop ADPT,D04-05BR,
