"Keyword 2","Product (15)","Product Line Code","Description Full","Whse Minimums","Whse Maximums","On Shelf","Whse 2 Primary Bin","Whse 5 Primary Bin","Whse 5 On Hand"
"21234420","P12304","BRASS","2-1/2x3/4 Brass Hex Bushing","80","240","30","C08-25E","","0"
"42114","P5764","BRASS","1/4 90 Std Brass Elbow","900","2700","937","C08-24B","","23"
"42118","P5768","BRASS","1/8 90 Std Brass Elbow","1800","5400","547","C08-27C","","-3"
"42138","P5769","BRASS","3/8 90 Std Brass Elbow","900","2700","1927","C08-24B","","-324"
"42112","P5770","BRASS","1/2 90 Std Brass Elbow","1000","3000","2065","C08-24A","","2390"
"42134","P5771","BRASS","3/4 90 Std Brass Elbow","1500","4500","3767","C08-24A","","4670"
"4211","P5772","BRASS","1 90 Std Brass Elbow","375","1125","2918","C08-24A","","-640"
"421114","P5773","BRASS","1-1/4 90 Std Brass Elbow","150","450","385","C08-24B","","293"
"421112","P5774","BRASS","1-1/2 90 Std Brass Elbow","105","315","176","C08-25B","","315"
"4212","P5775","BRASS","2 90 Std Brass Elbow","100","300","259","C08-24A","","40"
"421212","P5776","BRASS","2-1/2 90 Std Brass Elbow","30","90","57","C08-27C","","394"
"4213","P5777","BRASS","3 90 Std Brass Elbow","18","54","37","C08-27C","","15"
"4214","P5778","BRASS","4 90 Std Brass Elbow","8","24","20","C08-27D","","4"
"42218","P5780","BRASS","1/8 45 Std Brass Elbow","1200","3600","398","C08-25E","","7"
"42214","P5781","BRASS","1/4 45 Std Brass Elbow","900","2700","116","C08-25C","",""
"42238","P5782","BRASS","3/8 45 Std Brass Elbow","900","2700","175","C08-26C","","10"
"42212","P5783","BRASS","1/2 45 Std Brass Elbow","600","1800","274","C08-24B","","0"
"42234","P5784","BRASS","3/4 45 Std Brass Elbow","300","900","38","C08-24B","","0"
"4221","P5785","BRASS","1 45 Std Brass Elbow","225","675","314","C08-24B","","-9"
"422114","P5786","BRASS","1-1/4 45 Std Brass Elbow","150","450","127","C08-26C","","-9"
"422112","P5787","BRASS","1-1/2 45 Std Brass Elbow","120","360","120","C08-26C","","-2"
"4222","P5788","BRASS","2 45 Std Brass Elbow","75","225","69","C08-26C","","0"
"422212","P5789","BRASS","2-1/2 45 Std Brass Elbow","24","72","10","C08-22E","",""
"42318","P5793","BRASS","1/8 Std Brass 90 Street Elbow","1800","5400","415","C08-25B","","0"
